price,desc,loc,bed,bath,gar,sizeFloor,sizeErf,area
200000,House,Sir Lowrys Pass,1,1,,,,somerset-west
200000,House,Mandela Park,2,1,,,113,cape-flats
200000,House,Mandela Park,3,1,,,150,cape-flats
220000,House,Broadlands,2,1,,,270,strand-gordon
240000,House,Nonqubela,2,1,,,78,cape-flats
245000,Apartment,Philippi East,2,1,1,,,cape-flats
250000,House,Ikwezi Park,2,1,,,98,cape-flats
299000,House,Tafelsig,1,1,,,,cape-flats
300000,Apartment,Wynberg,1,1,1,30,,southern-suburbs
300000,Apartment,Grassy Park,2,1,1,,,southern-suburbs
300000,House,Lwandle,3,1,1,140,,strand-gordon
310000,House,Harare,2,1,2,,,cape-flats
310000,House,Nomzamo,2,1,1,,204,strand-gordon
320000,House,Khaya,2,1,,,99,cape-flats
330000,House,Tafelsig,3,1,2,,,cape-flats
349000,Townhouse,Tafelsig,2,1,1,,103,cape-flats
350000,Apartment,Bellrail,1,1,1,38,,northern-suburbs
350000,Apartment,Bellville Central,1,1,,38,,northern-suburbs
350000,Apartment,Philippi East,2,1,1,,,cape-flats
350000,House,Ilitha Park,2,1,,,180,cape-flats
350000,House,Mandela Park,2,1,,,108,cape-flats
350000,House,Tafelsig,2,1,1,,213,cape-flats
350000,House,Tafelsig,2,1,2,,,cape-flats
350000,House,Philippi East,3,1,,,162,cape-flats
360000,Apartment,Wynberg,1,1,,30,,southern-suburbs
370000,House,Philippi East,2,1,1,,130,cape-flats
375000,Apartment,Bellville Central,1,1,1,35,,northern-suburbs
375000,Apartment,Wynberg,1,1,1,30,,southern-suburbs
379000,Apartment,Wynberg,0.5,1,1,30,,southern-suburbs
380000,Apartment,Bellville Central,1,1,,,,northern-suburbs
380000,House,Tafelsig,3,1,,,151,cape-flats
380000,House,Tafelsig,3,1,1,,237,cape-flats
380000,House,Crossroads,3,1.5,,,164,cape-flats
389000,House,Hanover Park,2,1,,,159,cape-flats
390000,Apartment,Bellville Central,1,1,1,38,,northern-suburbs
390000,Apartment,Wynberg,1,1,,30,,southern-suburbs
390000,Apartment,Grassy Park,2,1,,52,,southern-suburbs
395000,Apartment,Anchorage Park,1,1,1,33,,strand-gordon
398000,Apartment,Grassy Park,2,1,2,,,southern-suburbs
399000,Apartment,Wynberg,1,1,,,,southern-suburbs
399000,Apartment,Wynberg,1,1,,33,,southern-suburbs
399000,Apartment,Wynberg,1,1,,45,,southern-suburbs
399000,Apartment,Wynberg,1,1,1,,,southern-suburbs
399000,House,Eastridge,3,1,1,,199,cape-flats
399000,House,Tafelsig,3,1,1,,168,cape-flats
400000,House,Crossroads,3,1,1,,106,cape-flats
410000,House,Bongweni,2,1,1,,,cape-flats
420000,Apartment,Belmont Park,2,1,1,,,northern-suburbs
430000,Apartment,Belmont Park,1,1,1,,,northern-suburbs
435000,Apartment,Bellville Central,1,1,,38,,northern-suburbs
439000,Apartment,Bellrail,1,1,1,38,,northern-suburbs
439000,Apartment,Onverwacht,1,1,1,28,,strand-gordon
439000,Apartment,Scottsdene,2,1,1,47,,northern-suburbs
440000,Apartment,Sanlamhof,1,1,1,32,,northern-suburbs
440000,House,Beacon Valley,3,1,,,144,cape-flats
445000,Apartment,Bellville Central,1,1,,38,,northern-suburbs
445000,Apartment,Wynberg,1,1,1,45,,southern-suburbs
447000,Apartment,Bellville Central,1,1,,38,,northern-suburbs
447000,Apartment,Bellville Central,1,1,1,,,northern-suburbs
449000,Apartment,Grassy Park,2,1,,,,southern-suburbs
449000,Apartment,Scottsdene,2,1,,43,,northern-suburbs
450000,Apartment,Bellville Central,1,1,,,,northern-suburbs
450000,Apartment,Bellville Central,1,1,,38,,northern-suburbs
450000,Apartment,Sanlamhof,1,1,1,32,,northern-suburbs
450000,Apartment,Wynberg,1,1,,,,southern-suburbs
450000,Apartment,Wynberg,1,1,1,35,,southern-suburbs
450000,Apartment,Rome,2,1,1,53,,strand-gordon
450000,House,Joe Slovo,2,1,1,,,milnerton
450000,House,Mandela Park,2,1,,,,cape-flats
450000,House,Nyanga,2,1,,,,cape-flats
450000,House,Scottsdene,2,1,,,100,northern-suburbs
450000,House,Scottsville,2,1,1,,83,northern-suburbs
450000,House,Tafelsig,2,1,1,,,cape-flats
450000,House,Woodlands,2,1,1,,71,cape-flats
450000,House,Eastridge,3,1,,,166,cape-flats
459000,Apartment,Lotus River,1,1,1,29,,southern-suburbs
460000,Apartment,Gordons Bay Central,1,1,1,52,,strand-gordon
460000,Apartment,Guldenland,1,1,1,45,,strand-gordon
460000,Apartment,Whispering Pines,1,1,1,52,,strand-gordon
460000,House,Tafelsig,2,1,1,,146,cape-flats
470000,House,Bellville Central,1,1,,,38,northern-suburbs
470000,House,Nonqubela,2,1,2,,100,cape-flats
470000,House,Tafelsig,3,1,1,,144,cape-flats
472000,Apartment,Scottsdene,2,1,,43,,northern-suburbs
474000,Apartment,Wynberg,1,1,1,36,,southern-suburbs
475000,Apartment,West Riding,1,1,1,29,,blouberg
480000,Apartment,Gordons Bay Central,1,1,1,37,,strand-gordon
480000,Apartment,Retreat,1,1,,37,,southern-suburbs
480000,Apartment,Whispering Pines,1,1,,52,,strand-gordon
480000,Apartment,Whispering Pines,1,1,1,37,,strand-gordon
480000,Apartment,Sanlamhof,2,1,1,47,,northern-suburbs
480000,House,Hanover Park,2,1,5,,102,cape-flats
480000,House,Harare,2,1,1,,57102,cape-flats
480000,House,Eastridge,3,1,,,280,cape-flats
480000,House,Tafelsig,3,1,,,144,cape-flats
480000,House,Umrhabulo Triangle,3,1,2,,166,cape-flats
480000,Apartment,Whispering Pines,,1,,37,,strand-gordon
485000,House,Tafelsig,3,1,1,,,cape-flats
490000,Apartment,Bellville Central,1,1,1,,,northern-suburbs
490000,Apartment,Grassy Park,2,1,,,,southern-suburbs
490000,Apartment,Guldenland,2,1,1,58,,strand-gordon
490000,Apartment,Rome,2,1,,50,,strand-gordon
490000,House,Beacon Valley,3,1,2,,,cape-flats
490000,House,Heideveld,3,1,,,,cape-flats
495000,Apartment,Die Bos,1,1,,45,,strand-gordon
495000,Apartment,Gordons Bay Central,1,1,,52,,strand-gordon
495000,Apartment,Gordons Bay Central,1,1,1,52,,strand-gordon
495000,Apartment,Guldenland,1,1,1,47,,strand-gordon
495000,House,Khaya,3,1,1,,141,cape-flats
495000,House,Philippi,3,1,1,,,cape-flats
495000,House,Woodlands,3,1,2,,90,cape-flats
499000,Apartment,Retreat,1,1,1,37,,southern-suburbs
499000,Apartment,Wynberg,1,1,2,36,,southern-suburbs
499000,Apartment,Gordons Bay Central,2,1,1,49,,strand-gordon
499000,House,Morgans Village,2,1,,,,cape-flats
499000,House,Tafelsig,3,1.5,2,,220,cape-flats
499000,Apartment,Bellville Central,1,2,,76,,northern-suburbs
499999,Apartment,Strand Central,2,1,,41,,strand-gordon
500000,Apartment,Bellville Central,1,1,1,38,,northern-suburbs
500000,Apartment,Scottsdene,2,1,1,,,northern-suburbs
500000,House,Beacon Valley,3,1,1,,121,cape-flats
500000,House,Guguletu,3,1,3,,210,cape-flats
500000,House,Woodlands,3,1,,,112,cape-flats
500000,House,Woodlands,2,2,,,90,cape-flats
510000,Apartment,Gordons Bay Central,1,1,,52,,strand-gordon
510000,Apartment,Gordons Bay Central,1,1,1,52,,strand-gordon
510000,Apartment,Gordons Bay Central,2,1,1,52,,strand-gordon
510000,Apartment,Whispering Pines,2,1,,52,,strand-gordon
510000,Apartment,Whispering Pines,2,1,1,52,,strand-gordon
520000,Apartment,Oakdale,1,1,,35,,northern-suburbs
520000,Apartment,Die Bos,2,1,1,41,,strand-gordon
520000,Apartment,Guldenland,2,1,1,41,,strand-gordon
520000,Apartment,Scottsdene,2,1,,,,northern-suburbs
520000,Apartment,Scottsdene,2,1,1,,,northern-suburbs
520000,Apartment,Strand Central,2,1,1,,,strand-gordon
520000,House,Broadlands Village,2,1,,,211,strand-gordon
520000,House,Mitchells Plain Central,3,1,5,,252,cape-flats
520000,House,Tafelsig,3,1,1,,126,cape-flats
520000,House,Tafelsig,3,1,2,,144,cape-flats
525000,Apartment,Gordons Bay Central,1,1,1,52,,strand-gordon
525000,Apartment,Guldenland,1,1,1,48,,strand-gordon
525000,Apartment,Fairview Golf Estate,2,1,1,67,,strand-gordon
525000,Apartment,Guldenland,2,1,,60,,strand-gordon
530000,Apartment,Gordons Bay Central,1,1,1,44,,strand-gordon
530000,Apartment,Whispering Pines,1,1,,43,,strand-gordon
530000,Apartment,Wynberg,1,1,1,,35,southern-suburbs
530000,Apartment,Gordons Bay Central,2,1,1,52,,strand-gordon
530000,Apartment,Guldenland,2,1,1,60,,strand-gordon
530000,Apartment,Rome,2,1,1,53,,strand-gordon
530000,Apartment,Sea Breeze,2,1,1,59,,strand-gordon
530000,Apartment,Whispering Pines,2,1,1,,52,strand-gordon
530000,House,Mitchells Plain Central,2,1,,,152,cape-flats
530000,House,Beacon Valley,3,1,1,,150,cape-flats
535000,Apartment,Gordons Bay Central,2,1,,,,strand-gordon
535000,Apartment,Sea Breeze,2,1,,59,,strand-gordon
539000,House,Retreat,1,1,1,,37,southern-suburbs
540000,Apartment,Sea Breeze,2,1,1,63,,strand-gordon
